budget,company,country,director,genre,gross,name,released,runtime,score,star,votes,year
2800000,CamÐ¹ra One,Russia,Nikita Mikhalkov,Drama,2616503,Burnt by the Sun,4/21/1995,135,8.0,Nikita Mikhalkov,11998,1994
2000000,Planet Productions,USA,Rodman Flender,Comedy,2260622,Leprechaun 2,4/8/1994,85,4.4,Warwick Davis,6778,1994
3000000,Jones Entertainment Group,USA,John Sayles,Drama,6101600,The Secret of Roan Inish,2/3/1995,103,7.5,Jeni Courtney,6305,1994
7000000,Fine Line Features,USA,Alan Rudolph,Biography,2144667,Mrs. Parker and the Vicious Circle,11/23/1994,125,6.4,Jennifer Jason Leigh,3789,1994
20000000,Channel Films,USA,Hugh Wilson,Comedy,27053498,Guarding Tess,3/11/1994,96,6.2,Shirley MacLaine,13526,1994
15000000,Tig Productions,USA,John Bailey,Crime,3038499,China Moon,3/4/1994,99,6.2,Ed Harris,4508,1994
17080000,Hollywood Pictures,USA,Paul Michael Glaser,Comedy,21011500,The Air Up There,1/7/1994,107,5.5,Kevin Bacon,7663,1994
20000000,Majestic Films International,USA,Kevin Reynolds,Action,305070,Rapa Nui,9/9/1994,107,6.4,Jason Scott Lee,4075,1994
2300000,Fine Line Features,USA,James Gray,Crime,1095885,Little Odessa,5/19/1995,98,6.8,Tim Roth,6076,1994
13000000,Nelson Entertainment,USA,Donald Petrie,Comedy,3134081,The Favor,4/29/1994,97,5.3,Harley Jane Kozak,2201,1994
15000000,Metro-Goldwyn-Mayer (MGM),USA,Bob Clark,Comedy,70936,It Runs in the Family,9/23/1994,85,5.7,Charles Grodin,1234,1994
2300000,American Playhouse,USA,Hal Hartley,Comedy,856422,Amateur,5/19/1995,105,7.0,Isabelle Huppert,4804,1994
3200000,Barcelona Films,USA,Whit Stillman,Comedy,7266973,Barcelona,7/29/1994,101,7.0,Taylor Nichols,4843,1994
10500000,Nelson Entertainment,USA,Floyd Mutrux,Comedy,123509,There Goes My Baby,9/2/1994,99,6.4,Dermot Mulroney,902,1994
15000000,Universal Pictures,USA,Mel Smith,Comedy,1299060,Radioland Murders,10/21/1994,108,6.2,Brian Benben,2920,1994
200000,Acme Films Ltd.,USA,Gary Jones,Horror,986314,Mosquito,11/21/1994,92,4.6,Gunnar Hansen,1715,1994
15000,Can I Watch,USA,Rose Troche,Drama,2408311,Go Fish,7/8/1994,83,5.6,V.S. Brodie,1742,1994
10700000,Orion Pictures,USA,Bill Fishman,Comedy,1238080,"Car 54, Where Are You?",1/28/1994,89,2.4,David Johansen,4018,1994
